asn,isp
3132,Red Cientifica Peruana
3136,State of WI Dept. of Administration
3140,The Thomas Jefferson High School for Science and Tech.
3141,Benemerita Universidad Autonoma de Puebla
3145,Refinitiv US LLC
3147,U.S. BANCORP
3152,Fermi National Accelerator Laboratory (Fermilab)
3161,IT PROFI s.r.o.
3163,DiemIT GmbH
3164,Astimp IT Solution SRL
3165,Przedsiebiorstwo Telekomunikacyjne LANET sp. z o.o.
3166,Orebro Kommun
3167,Group of Company INFOPRO Ltd.
3168,PE Dityatev Sergey Yurievich
3169,Jacek Pasek BRK Network Devices
3170,VeloxServ Communications Ltd
3173,Stanleyworks (Europe) GmbH
3175,CITYTELECOM-MSK
3176,Banque Du Liban
3177,Visparad Web Hosting Service LLC
3178,FastLine For Communication And Information Technology Ltd
3179,Akvalis Ltd.
3180,Smart Media Systems Ltd.
3181,MATRIX TELECOM LLC
3185,See Tickets Holding B.V.
3187,BNP Paribas Personal Finance EAD
3188,Alastyr Telekomunikasyon A.S.
3190,3-S-IT Dienstleistungen GmbH
3191,JSC CentrInform
3194,SatGate Company for Trading of Computers Systems and Communications Appliances 
3200,UK Navikon LLC.
3201,Umdasch AG
3203,PTO Videokanal Ltd.
3206,AF Blakemore & Son Ltd
3208,Algerian NREN Network
3209,Vodafone GmbH
3210,Secure Data Systems SRL
3212,Telemach UG d.o.o.
3213,Bogons Ltd
3214,xTom GmbH
3215,Orange S.A.
3216,PJSC Vimpelcom
3218,Federal State Budgetary Institution of Science Space Research Institute of the
3219,Ministry of Local Government and Regional Development
3220,Internet Technology Advisors Scandinavia Ab
3221,Haridus- ja Noorteamet
3222,Cinia Oy
3223,Voxility LLP
3225,GULFNET COMMUNICATIONS CO. WLL
3226,OOO NI
3227,Live in Sky Ltd
3229,Darinet Ltd.
3232,ModernColo LP
3233,Institutul National de Cercetare-Dezvoltare in informatica - ICI Bucuresti
3235,PJSC Vimpelcom
3236,SERVER.UA LLC
3238,Alands Telekommunikation Ab
3240,Styrelsen for it og laering
3241,Elektronikas un Datorzinatnu Instituts
3242,ITnet S.r.l.
3243,MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.
3244,3c. Kft.
3245,Digital Systems Ltd
3247,INS GmbH
3249,Telia Eesti AS
3250,Netskin GmbH
3252,Fiberax Networking&Cloud Ltd.
3253,PJSC Vimpelcom
3254,Lucky Net Ltd
3255,State Enterprise Scientific and Telecommunication Centre Ukrainian Academic an
3257,GTT Communications Inc.
3259,DOCAPOST BPO SAS
3260,INTRACOM S.A. TELECOM SOLUTIONS
3261,LLC FTICOM
3262,SAREnet S.A.
3264,American University in Bulgaria
3265,Xs4all Internet BV
3266,UAB Porenta
3267,Federal State Institution Federal Scientific Research Institute for System Ana
3268,University of Cyprus
3269,Telecom Italia S.p.A.
3271,SAP SE
3272,Fujitsu Services A/S
3273,VODAFONE ONO S.A.
3274,Telia Cygate Oy
3275,CINECA CONSORZIO INTERUNIVERSITARIO
3276,OBIT Ltd.
3278,SEW-EURODRIVE GmbH & Co KG
3279,PE Galamay Andrey Anatolyevich
3280,LayerBridge SRL
3281,2CLOUD
3284,ServiceCloud Ltd.
3285,Company Delfa Co. Ltd.
3287,Redline LLC
3288,Mofet Institute
3289,MIDOCAR SRL
3290,WIFAST SARL
3291,GTT Communications Inc.
3292,TDC Holding A/S
3295,Societe Generale S.A.
3296,Societe Generale S.A.
3297,Societe Generale S.A.
3298,Societe Generale S.A.
3299,Societe Generale S.A.
3300,British Telecommunications PLC
3301,Telia Company AB
3302,IRIDEOS S.P.A.
3303,Swisscom (Schweiz) AG
3304,Proximus NV
3306,Kilohertz AB
3308,Telia Company AB
3311,Tamkeen Technologies LLC
3312,IT Energy Service
3313,BT Italia S.p.A.
3314,MTA Wigner Fizikai Kutatokozpont
3316,Joint-stock company Internet Exchange MSK-IX
3319,User Association of Ukrainian Research and Academic Network URAN
3320,Deutsche Telekom AG
3323,National Technical University of Athens
3324,Fujitsu Technology Solutions S.A.
